# STATION: MTMET
# STATION NAME: U of U Mountain Met Lab
# LATITUDE: 40.766573
# LONGITUDE: -111.828211
# ELEVATION [ft]: 4996
# STATE: UT
Station_ID,Date_Time,ozone_concentration_set_1
,,ppb
MTMET,2017-09-02T00:00:00Z,60.89
MTMET,2017-09-02T00:01:00Z,
MTMET,2017-09-02T00:02:00Z,
MTMET,2017-09-02T00:03:00Z,
MTMET,2017-09-02T00:04:00Z,
MTMET,2017-09-02T00:05:00Z,62.63
MTMET,2017-09-02T00:06:00Z,
MTMET,2017-09-02T00:07:00Z,
MTMET,2017-09-02T00:08:00Z,
MTMET,2017-09-02T00:09:00Z,
MTMET,2017-09-02T00:10:00Z,64.67
MTMET,2017-09-02T00:11:00Z,
MTMET,2017-09-02T00:12:00Z,
MTMET,2017-09-02T00:13:00Z,
MTMET,2017-09-02T00:14:00Z,
MTMET,2017-09-02T00:15:00Z,63.86
MTMET,2017-09-02T00:16:00Z,
MTMET,2017-09-02T00:17:00Z,
MTMET,2017-09-02T00:18:00Z,
MTMET,2017-09-02T00:19:00Z,
MTMET,2017-09-02T00:20:00Z,64.15
MTMET,2017-09-02T00:21:00Z,
MTMET,2017-09-02T00:22:00Z,
MTMET,2017-09-02T00:23:00Z,
MTMET,2017-09-02T00:24:00Z,
MTMET,2017-09-02T00:25:00Z,64.98
MTMET,2017-09-02T00:26:00Z,
MTMET,2017-09-02T00:27:00Z,
MTMET,2017-09-02T00:28:00Z,
MTMET,2017-09-02T00:29:00Z,
MTMET,2017-09-02T00:30:00Z,65.81
MTMET,2017-09-02T00:31:00Z,
MTMET,2017-09-02T00:32:00Z,
MTMET,2017-09-02T00:33:00Z,
MTMET,2017-09-02T00:34:00Z,
MTMET,2017-09-02T00:35:00Z,61.34
MTMET,2017-09-02T00:36:00Z,
MTMET,2017-09-02T00:37:00Z,
MTMET,2017-09-02T00:38:00Z,
MTMET,2017-09-02T00:39:00Z,
MTMET,2017-09-02T00:40:00Z,64.36
MTMET,2017-09-02T00:41:00Z,
MTMET,2017-09-02T00:42:00Z,
MTMET,2017-09-02T00:43:00Z,
MTMET,2017-09-02T00:44:00Z,
MTMET,2017-09-02T00:45:00Z,63.67
MTMET,2017-09-02T00:46:00Z,
MTMET,2017-09-02T00:47:00Z,
MTMET,2017-09-02T00:48:00Z,
MTMET,2017-09-02T00:49:00Z,
MTMET,2017-09-02T00:50:00Z,63.09
MTMET,2017-09-02T00:51:00Z,
MTMET,2017-09-02T00:52:00Z,
MTMET,2017-09-02T00:53:00Z,
MTMET,2017-09-02T00:54:00Z,
MTMET,2017-09-02T00:55:00Z,63.77
MTMET,2017-09-02T00:56:00Z,
MTMET,2017-09-02T00:57:00Z,
MTMET,2017-09-02T00:58:00Z,
MTMET,2017-09-02T00:59:00Z,
MTMET,2017-09-02T01:00:00Z,64.51
MTMET,2017-09-02T01:01:00Z,
MTMET,2017-09-02T01:02:00Z,
MTMET,2017-09-02T01:03:00Z,
MTMET,2017-09-02T01:04:00Z,
MTMET,2017-09-02T01:05:00Z,64.1
MTMET,2017-09-02T01:06:00Z,
MTMET,2017-09-02T01:07:00Z,
MTMET,2017-09-02T01:08:00Z,
MTMET,2017-09-02T01:09:00Z,
MTMET,2017-09-02T01:10:00Z,61.14
MTMET,2017-09-02T01:11:00Z,
MTMET,2017-09-02T01:12:00Z,
MTMET,2017-09-02T01:13:00Z,
MTMET,2017-09-02T01:14:00Z,
MTMET,2017-09-02T01:15:00Z,61.67
MTMET,2017-09-02T01:16:00Z,
MTMET,2017-09-02T01:17:00Z,
MTMET,2017-09-02T01:18:00Z,
MTMET,2017-09-02T01:19:00Z,
MTMET,2017-09-02T01:20:00Z,58.23
MTMET,2017-09-02T01:21:00Z,
MTMET,2017-09-02T01:22:00Z,
MTMET,2017-09-02T01:23:00Z,
MTMET,2017-09-02T01:24:00Z,
MTMET,2017-09-02T01:25:00Z,58.15
MTMET,2017-09-02T01:26:00Z,
MTMET,2017-09-02T01:27:00Z,
MTMET,2017-09-02T01:28:00Z,
MTMET,2017-09-02T01:29:00Z,
MTMET,2017-09-02T01:30:00Z,59.79
MTMET,2017-09-02T01:31:00Z,
MTMET,2017-09-02T01:32:00Z,
MTMET,2017-09-02T01:33:00Z,
MTMET,2017-09-02T01:34:00Z,
MTMET,2017-09-02T01:35:00Z,59.81
MTMET,2017-09-02T01:36:00Z,
MTMET,2017-09-02T01:37:00Z,
MTMET,2017-09-02T01:38:00Z,
MTMET,2017-09-02T01:39:00Z,
MTMET,2017-09-02T01:40:00Z,57.74
